episode,deliveries_completed,fuel_used,steps_taken,reward
1,0,14.622,8,1.809
2,0,18.756,11,-0.64
3,0,15.897,9,3.288
4,0,19.429,13,-6.804
5,0,15.823,10,1.218
6,0,15.377,10,-5.049
7,0,18.71,12,-2.571
8,0,14.264,9,-0.149
9,0,15.114,10,-4.311
10,0,17.52,11,-7.024
11,0,15.032,10,4.164
12,1,18.309,11,23.356
13,0,14.689,9,3.415
14,0,13.221,7,-2.783
15,0,17.9,11,-0.466
16,0,17.104,10,-3.189
17,0,13.937,8,3.794
18,0,14.786,8,-5.035
19,0,17.79,11,-8.129
20,0,16.778,10,3.636
21,0,18.236,10,-5.708
22,0,13.965,9,-4.447
23,0,16.576,9,-0.335
24,0,11.58,7,-5.308
25,0,17.565,11,2.979
26,0,14.079,8,3.362
27,0,15.387,10,1.889
28,0,16.745,9,3.209
29,0,15.121,9,2.207
30,0,17.895,12,1.888
31,0,17.896,12,-9.234
32,0,14.302,10,-1.927
33,0,16.754,9,4.297
34,0,14.666,10,0.31
35,0,17.374,11,-5.055
36,1,19.439,12,16.046
37,0,18.429,10,-11.354
38,1,15.147,9,17.423
39,0,14.78,9,5.22
40,1,12.794,8,12.172
41,1,16.48,10,21.003
42,0,13.912,7,-0.521
43,0,15.404,10,-11.285
44,0,14.191,9,-7.298
45,1,16.758,9,11.077
46,1,19.027,11,16.813
47,0,14.895,9,1.683
48,1,16.077,10,18.408
49,0,16.513,12,-5.562
50,0,16.158,10,-3.463
51,0,13.972,8,2.012
52,0,14.392,10,7.92
53,0,18.786,12,-6.379
54,0,15.356,9,1.361
55,0,13.64,9,-8.388
56,2,15.813,9,24.191
57,0,13.32,7,0.124
58,2,16.625,10,36.123
59,0,17.121,12,-0.837
60,0,18.916,10,1.75
61,1,13.531,9,13.335
62,0,14.867,9,2.249
63,1,12.162,7,15.786
64,0,12.091,7,3.752
65,0,15.679,9,-3.742
66,0,15.321,8,3.568
67,0,16.031,10,-0.221
68,0,16.72,9,-1.648
69,1,15.648,10,19.058
70,1,18.798,10,13.937
71,0,16.873,10,-3.535
72,0,18.294,12,3.295
73,1,17.732,10,19.45
74,0,15.159,9,4.766
75,0,18.076,11,-1.885
76,1,15.845,9,14.065
77,1,18.654,12,17.051
78,0,14.126,9,2.871
79,0,14.196,10,-5.356
80,2,19.431,11,34.699
81,0,17.504,10,-3.836
82,0,18.569,13,-0.779
83,0,15.665,11,-5.96
84,1,14.289,9,12.085
85,0,12.562,7,-2.847
86,0,14.082,9,-0.827
87,0,14.639,9,-3.508
88,0,16.201,10,1.526
89,1,16.168,9,21.148
90,0,13.474,8,-1.42
91,1,14.56,8,14.536
92,1,14.741,10,14.921
93,0,13.952,9,-2.801
94,0,16.138,10,5.2
95,0,14.813,8,-1.299
96,1,16.106,10,7.496
97,2,19.018,12,20.392
98,0,14.681,8,-5.94
99,1,15.805,9,12.204
100,0,16.174,9,1.031
101,0,16.337,8,3.516
102,0,16.246,10,2.341
103,0,19.048,12,2.965
104,1,14.098,8,18.695
105,0,15.632,10,-5.106
106,1,16.024,10,21.7
107,1,17.42,11,23.445
108,0,15.779,10,-0.595
109,0,16.26,12,-3.126
110,0,15.39,10,-7.278
111,0,17.883,10,-1.706
112,1,13.92,8,17.313
113,1,18.854,11,15.209
114,0,13.567,10,7.439
115,0,17.669,11,7.315
116,0,17.999,11,-1.827
117,0,16.357,9,2.348
118,0,15.923,10,-11.439
119,1,16.858,10,15.558
120,1,15.754,9,17.703
121,0,16.615,10,1.91
122,0,16.288,10,5.814
123,0,15.193,9,4.353
124,0,15.259,9,-6.5
125,0,18.547,11,1.195
126,1,16.985,10,11.523
127,1,16.765,10,9.696
128,0,16.299,10,-0.758
129,0,12.539,8,1.992
130,0,14.102,8,0.398
131,1,15.525,10,12.79
132,1,15.347,10,16.971
133,0,19.773,13,-8.399
134,1,13.998,9,14.539
135,0,13.906,9,2.345
136,1,17.218,10,20.752
137,0,17.363,10,5.496
138,0,16.124,9,-0.134
139,1,14.333,8,17.23
140,0,16.418,9,5.225
141,1,18.06,10,15.583
142,1,14.608,9,16.002
143,0,15.274,9,-5.849
144,0,14.337,8,-1.387
145,1,17.456,10,16.471
146,1,15.564,8,15.117
147,0,15.985,10,3.376
148,0,15.815,10,-1.135
149,0,16.246,11,3.55
150,0,18.363,13,4.514
151,0,19.748,11,-0.214
152,0,13.595,7,1.851
153,0,13.867,9,-5.137
154,0,17.416,9,0.308
155,0,13.805,10,-4.292
156,1,17.407,10,14.651
157,0,17.459,9,-2.457
158,0,17.818,11,4.617
159,0,13.331,8,3.781
160,0,16.234,10,-5.47
161,0,14.958,8,1.947
162,0,15.033,10,-1.472
163,0,15.647,11,0.28
164,0,18.767,10,-10.395
165,0,12.918,8,-5.576
166,0,14.043,7,2.446
167,2,15.115,10,26.106
168,0,14.81,9,6.156
169,0,14.576,9,0.797
170,1,19.118,10,16.447
171,0,16.674,11,5.435
172,1,12.832,9,16.53
173,0,14.028,9,0.675
174,1,14.457,11,10.021
175,0,16.707,11,1.849
176,0,13.915,8,4.657
177,0,17.451,11,7.929
178,0,19.249,10,3.409
179,0,17.884,11,0.26
180,1,17.595,10,18.514
181,0,16.84,10,-2.83
182,1,16.219,9,13.869
183,0,18.506,11,-2.857
184,0,17.342,11,3.186
185,1,15.071,10,11.262
186,0,15.869,8,2.841
187,0,14.251,10,-3.053
188,0,16.609,9,5.341
189,1,15.018,10,16.77
190,0,15.006,9,2.447
191,1,16.08,10,10.78
192,0,11.54,7,-7.776
193,0,19.11,11,-1.633
194,0,15.684,9,2.38
195,1,15.102,8,13.747
196,0,17.518,10,6.07
197,1,14.934,9,12.734
198,0,12.042,7,-3.826
199,1,18.881,13,20.351
200,0,18.58,10,3.756
201,0,14.445,9,-7.866
202,0,16.146,10,0.499
203,0,17.894,11,-6.183
204,0,18.079,10,-0.825
205,0,13.174,7,-2.296
206,0,17.207,12,-4.605
207,1,15.409,10,19.992
208,0,12.657,7,-0.04
209,1,19.66,12,10.489
210,0,18.603,11,5.003
211,0,17.321,12,-2.593
212,0,13.588,8,4.301
213,1,15.757,9,18.235
214,1,16.017,10,10.215
215,0,13.032,9,2.224
216,1,12.951,7,15.007
217,1,15.783,9,12.738
218,1,12.956,8,5.358
219,1,14.606,10,16.553
220,0,17.798,10,-0.908
221,0,13.487,8,-1.151
222,1,17.98,12,21.076
223,0,18.682,9,-2.446
224,0,17.829,11,3.688
225,0,13.275,7,-4.878
226,0,14.405,8,-1.64
227,1,15.01,10,14.86
228,0,15.055,9,0.92
229,0,17.728,9,-7.834
230,0,15.712,9,3.599
231,0,13.118,9,3.366
232,0,13.772,10,6.165
233,0,18.32,9,-1.695
234,0,17.94,11,-7.155
235,0,17.794,10,-4.03
236,0,14.803,10,6.642
237,0,16.029,11,1.247
238,0,13.563,8,-6.609
239,1,12.094,8,13.436
240,0,17.784,12,-11.59
241,0,14.914,9,3.529
242,0,17.742,9,5.228
243,0,18.886,11,-0.411
244,0,15.756,9,4.706
245,1,16.544,8,16.75
246,0,16.061,11,6.16
247,0,15.964,9,-2.046
248,0,18.167,13,4.333
249,0,18.744,12,-9.777
250,1,17.334,10,18.99
251,0,15.127,10,-5.624
252,0,18.967,11,2.353
253,0,13.598,7,-4.382
254,0,15.452,9,3.726
255,1,18.337,11,18.801
256,1,14.8,9,22.987
257,0,14.156,10,1.434
258,0,17.922,11,-5.267
259,0,15.733,10,4.04
260,0,17.422,10,-4.642
261,0,17.046,10,4.473
262,0,13.403,10,-6.569
263,0,13.704,8,3.23
264,0,15.053,9,-3.427
265,0,17.094,10,1.868
266,0,16.24,10,-3.0
267,0,17.671,10,4.79
268,0,17.439,9,0.804
269,1,16.24,11,11.452
270,0,14.307,8,-2.75
271,0,14.475,8,1.824
272,0,16.658,9,-4.716
273,0,15.322,9,-5.567
274,0,13.493,8,2.706
275,1,13.769,8,10.803
276,1,18.371,11,14.872
277,0,14.373,11,1.111
278,1,13.377,8,18.116
279,0,19.04,13,-3.954
280,0,18.533,11,-2.746
281,0,17.297,9,0.219
282,0,15.269,10,0.589
283,0,16.82,11,-0.607
284,0,18.557,12,0.536
