#{"t_start": 1774783934.0679562, "env_id": "None"}
r,l,t
-16.721983,13,4.06092
-20.561781,16,4.083622
-20.195015,21,4.111718
-27.952097,21,4.147398
-33.606627,27,4.186147
-17.969258,20,4.213279
-21.046739,26,4.254616
-15.864337,17,4.278806
-20.110155,19,4.304522
-12.541093,16,4.328134
-27.381929,33,4.368324
-17.972367,21,4.395581
-15.08257,28,4.430124
-18.734647,19,4.458916
-25.525622,22,4.472573
-8.550368,15,4.489342
-20.884857,25,4.522567
-14.179337,30,4.558355
-22.387802,31,4.587205
-38.040485,44,4.648831
-24.961531,21,4.67576
-17.313204,19,4.707639
-25.398384,25,4.736078
-9.837107,13,4.751567
-15.811855,18,4.776146
-20.840724,20,4.80115
-23.056324,25,4.827491
-9.614317,14,4.84051
-26.907474,23,4.861193
-61.604172,65,4.921143
-35.469126,26,4.951381
-22.134127,22,4.980849
-23.281016,21,5.013063
-20.97049,23,5.047337
-25.549056,24,5.081368
-42.583548,28,5.112239
-13.717553,15,5.127024
-17.019715,17,5.145036
-13.837566,15,5.162875
-20.460189,26,5.198144
-24.091259,35,5.236905
-20.306205,23,5.265203
1.464747,12,5.287089
-4.645027,12,5.306403
-27.501485,21,6.413905
-15.317802,18,6.435424
-22.487216,29,6.466517
-8.989904,16,6.485173
-13.216741,16,6.506315
-5.504153,11,6.519381
-13.392355,17,6.541905
-14.907608,25,6.571833
-6.472772,17,6.592996
-17.095107,14,6.608989
-0.651176,13,6.623252
-8.58605,14,6.635256
-6.596535,22,6.659997
-21.274935,21,6.681062
-14.947013,16,6.696076
-6.062149,12,6.708708
-14.232649,20,6.727058
-12.965078,15,6.74107
-24.386908,18,6.759943
-22.78869,21,6.782585
-8.185064,13,6.799587
-18.574436,20,6.821232
-11.311961,14,6.822998
-15.294614,16,6.854353
-17.481271,24,6.870475
-4.525966,15,6.886962
-10.451227,13,6.907893
-12.031328,17,6.922195
-14.730068,14,6.938084
-24.275212,21,6.95779
-2.213358,11,6.969739
-15.753404,21,6.990046
-5.744232,12,7.013212
-16.757506,15,7.031465
