#{"t_start": 1774803535.6618693, "env_id": "None"}
r,l,t
1.809349,8,0.137004
-0.640304,11,0.150469
3.288155,9,0.164074
-6.803965,13,0.184265
1.217684,10,0.200257
-5.048829,10,0.219329
-2.571035,12,0.243273
-0.148523,9,0.260299
-4.311426,10,0.277358
-7.023635,11,0.297759
4.164422,10,0.308887
23.356105,11,0.321841
3.414589,9,0.339478
-2.783199,7,0.339478
-0.465887,11,0.362877
-3.189149,10,0.374898
3.794366,8,0.385517
-5.035499,8,0.395088
-8.129007,11,0.409256
3.635934,10,0.431777
-5.708271,10,0.456708
-4.446502,9,0.464944
-0.335415,9,0.478697
-5.307965,7,0.493764
2.978742,11,0.50908
3.36214,8,0.522732
1.889162,10,0.528602
3.209009,9,0.538901
2.207477,9,0.554192
1.887522,12,0.570262
-9.23387,12,0.590337
-1.92734,10,0.600215
4.296781,9,0.609184
0.309591,10,0.62588
-5.055128,11,0.639562
16.046278,12,0.659235
-11.354015,10,0.678835
17.422691,9,0.68918
5.220366,9,0.705742
12.171805,8,0.709071
21.002732,10,0.726534
-0.520703,7,0.737602
-11.284715,10,0.760929
-7.297576,9,0.778872
11.077438,9,0.799197
16.813053,11,0.816053
1.68271,9,0.826432
18.407515,10,0.832517
-5.562415,12,0.850101
-3.463401,10,0.859075
2.012148,8,0.859075
7.920337,10,0.883596
-6.378606,12,0.897858
1.360566,9,0.909084
-8.388108,9,0.927465
24.190851,9,0.942975
0.124265,7,0.950665
36.122743,10,0.961413
-0.836646,12,0.974523
1.750308,10,0.99109
13.335142,9,1.000078
2.248631,9,1.009349
15.785727,7,1.017377
3.751676,7,1.026289
-3.742434,9,1.039458
3.567855,8,1.050022
-0.221364,10,1.062921
-1.647945,9,1.070604
19.058094,10,1.086425
13.9372,10,1.100116
-3.534896,10,1.112869
3.295127,12,1.132746
19.449867,10,1.146761
4.765619,9,1.158848
-1.885498,11,1.172821
14.064793,9,1.186527
17.051298,12,1.200005
2.871468,9,1.2151
-5.356078,10,1.222556
34.699213,11,1.236456
-3.835696,10,1.250105
-0.779043,13,1.267814
-5.960218,11,1.280573
12.085327,9,1.292137
-2.847015,7,1.3021
-0.826658,9,1.312939
-3.507668,9,1.323277
1.52609,10,1.339204
21.14792,9,1.34988
-1.419585,8,1.358958
14.53613,8,1.364985
14.920914,10,1.378624
-2.801471,9,1.390044
5.199878,10,1.402162
